h;X;Freq;Z
3;6.5;8.56;43,76607
3;6.5;8.58;42,63785
3;6.5;8.6;43,48110
3;6.5;8.62;42,93776
3;6.5;8.64;44,39424
3;6.5;8.66;43,81229
3;6.5;8.68;44,07278
3;6.5;8.7;44,89129
3;6.5;8.72;45,02811
3;6.5;8.74;44,60029
3;6.5;8.76;44,03138
3;6.5;8.78;45,96426
3;6.5;8.8;45,39614
3;6.5;8.82;45,29089
3;6.5;8.84;45,48653
3;6.5;8.86;45,02148
3;6.5;8.88;46,31874
3;6.5;8.9;46,49463
3;6.5;8.92;46,87022
3;6.5;8.94;46,52540
3;6.5;8.96;46,52950
3;6.5;8.98;46,84516
3;6.5;9;46,47535
3;6.5;9.02;46,49041
3;6.5;9.04;47,20703
3;6.5;9.06;47,88734
3;6.5;9.08;47,74360
3;6.5;9.1;47,37740
3;6.5;9.12;48,09651
3;6.5;9.14;48,72686
3;6.5;9.16;47,84446
3;6.5;9.18;48,21527
3;6.5;9.2;49,10599
3;6.5;9.22;49,05689
3;6.5;9.24;48,87218
3;6.5;9.26;49,12522
3;6.5;9.28;50,13432
3;6.5;9.3;50,47141
3;6.5;9.32;49,35333
3;6.5;9.34;50,15749
3;6.5;9.36;49,37558
3;6.5;9.38;50,69109
3;6.5;9.4;51,22933
3;6.5;9.42;50,84857
3;6.5;9.44;51,09425
3;6.5;9.46;53,20420
3;6.5;9.48;52,34744
3;6.5;9.5;52,37898
3;6.5;9.52;52,81819
3;6.5;9.54;52,27364
3;6.5;9.56;54,05651
3;6.5;9.58;52,95540
3;6.5;9.6;54,25340
3;6.5;9.62;52,80891
3;6.5;9.64;53,46897
3;6.5;9.66;53,40407
3;6.5;9.68;53,56537
3;6.5;9.7;52,38354
3;6.5;9.72;54,20152
3;6.5;9.74;54,38397
3;6.5;9.76;54,71530
3;6.5;9.78;52,98079
3;6.5;9.8;54,01139
3;6.5;9.82;53,29848
3;6.5;9.84;52,64396
3;6.5;9.86;53,03806
3;6.5;9.88;52,09601
3;6.5;9.9;53,35201
3;6.5;9.92;52,84300
3;6.5;9.94;51,72415
3;6.5;9.96;50,88747
3;6.5;9.98;52,64758
3;6.5;10;51,35804
3;6.5;10.02;50,07295
3;6.5;10.04;51,53456
3;6.5;10.06;50,08494
3;6.5;10.08;50,31746
3;6.5;10.1;49,64547
3;6.5;10.12;49,60285
3;6.5;10.14;50,31669
3;6.5;10.16;49,28177
3;6.5;10.18;50,53505
3;6.5;10.2;49,23580
3;6.5;10.22;48,17794
3;6.5;10.24;48,70962
3;6.5;10.26;48,61617
3;6.5;10.28;47,46329
3;6.5;10.3;47,87001
3;6.5;10.32;48,19379
3;6.5;10.34;47,36327
3;6.5;10.36;47,99944
3;6.5;10.38;46,74841
3;6.5;10.4;47,76999
3;6.5;10.42;46,89534
3;6.5;10.44;46,51947
3;6.5;10.46;46,56028
3;6.5;10.48;44,79523
3;6.5;10.5;45,50676
3;6.5;10.52;45,55574
3;6.5;10.54;45,61825
3;6.5;10.56;45,26614
3;6.5;10.58;45,99554
3;6.5;10.6;45,28042
3;6.5;10.62;45,21547
3;6.5;10.64;44,48624
3;6.5;10.66;44,88190
3;6.5;10.68;44,01163
3;6.5;10.7;43,79670
3;6.5;10.72;43,68372
3;6.5;10.74;42,41088
3;6.5;10.76;42,89528
3;6.5;10.78;43,05287
3;6.5;10.8;42,86599
3;6.5;10.82;43,49150
3;6.5;10.84;43,55554
3;6.5;10.86;42,50998
3;6.5;10.88;42,05499
3;6.5;10.9;42,83342
3;6.5;10.92;42,57974
3;6.5;10.94;42,97914
3;6.5;10.96;43,54954
3;6.5;10.98;43,38097
3;6.5;11;42,95286
3;6.5;11.02;42,26140
3;6.5;11.04;41,35297
3;6.5;11.06;42,10651
3;6.5;11.08;42,39851
3;6.5;11.1;40,49362
3;6.5;11.12;41,32001
3;6.5;11.14;41,48838
3;6.5;11.16;41,36627
3;6.5;11.18;42,01471
3;6.5;11.2;42,05571
3;6.5;11.22;40,70367
3;6.5;11.24;39,29429
3;6.5;11.26;40,48736
3;6.5;11.28;41,04017
3;6.5;11.3;40,66850
3;6.5;11.32;39,78541
3;6.5;11.34;41,08464
3;6.5;11.36;40,92831
3;6.5;11.38;41,26830
3;6.5;11.4;40,38161
3;6.5;11.42;40,41370
3;6.5;11.44;39,81597
3;6.5;11.46;39,12954
3;6.5;11.48;39,47719
3;6.5;11.5;39,68846
3;6.5;11.52;40,02879
3;6.5;11.54;39,76707
3;6.5;11.56;39,73577
3;6.5;11.58;40,56285
3;6.5;11.6;39,21963
3;6.5;11.62;39,34089
3;6.5;11.64;39,11140
3;6.5;11.66;39,70899
3;6.5;11.68;39,82537
3;6.5;11.7;38,39321
3;6.5;11.72;38,48943
3;6.5;11.74;38,57128
3;6.5;11.76;38,40906
3;6.5;11.78;38,27625
3;6.5;11.8;38,11206
3;6.5;11.82;38,96755
3;6.5;11.84;38,18506
3;6.5;11.86;38,98622
3;6.5;11.88;38,32691
3;6.5;11.9;37,89672
3;6.5;11.92;39,28578
3;6.5;11.94;38,50152
3;6.5;11.96;39,27602
3;6.5;11.98;39,10319
3;6.5;12;37,35573
3;6.5;12.02;38,08831
3;6.5;12.04;37,67217
3;6.5;12.06;37,24134
3;6.5;12.08;37,41477
3;6.5;12.1;37,51016
3;6.5;12.12;38,25107
3;6.5;12.14;37,24503
3;6.5;12.16;37,80456
3;6.5;12.18;38,43956
3;6.5;12.2;37,54384
3;6.5;12.22;37,08119
3;6.5;12.24;37,03439
3;6.5;12.26;36,88293
3;6.5;12.28;37,32703
3;6.5;12.3;37,19723
3;6.5;12.32;38,33803
3;6.5;12.34;36,68787
3;6.5;12.36;38,10601
3;6.5;12.38;37,19266
3;6.5;12.4;36,47311
