Start Time = Sat Jun 18 09:39:02 2022
[2/501][850/1174]	Loss_D: 2.6093	Loss_G: 0.2337	D(x): 0.0692	D(G(z)): 0.0019 / 0.8993
[2/501][900/1174]	Loss_D: 0.6239	Loss_G: 2.0266	D(x): 0.6928	D(G(z)): 0.1825 / 0.1313
[2/501][950/1174]	Loss_D: 0.2892	Loss_G: 2.9579	D(x): 0.9681	D(G(z)): 0.0652 / 0.0475
[2/501][1000/1174]	Loss_D: 0.3784	Loss_G: 2.7950	D(x): 0.8946	D(G(z)): 0.1363 / 0.0595
[2/501][1050/1174]	Loss_D: 0.7570	Loss_G: 1.7154	D(x): 0.7622	D(G(z)): 0.3400 / 0.1686
[2/501][1100/1174]	Loss_D: 0.2238	Loss_G: 4.8004	D(x): 0.9450	D(G(z)): 0.0075 / 0.0066
[2/501][1150/1174]	Loss_D: 0.2866	Loss_G: 5.5257	D(x): 0.9903	D(G(z)): 0.0048 / 0.0032
[3/501][0/1174]	Loss_D: 1.3053	Loss_G: 0.5577	D(x): 0.3279	D(G(z)): 0.1778 / 0.6115
[3/501][50/1174]	Loss_D: 0.4983	Loss_G: 1.7173	D(x): 0.8958	D(G(z)): 0.2219 / 0.1891
[3/501][100/1174]	Loss_D: 0.2295	Loss_G: 4.1821	D(x): 0.9372	D(G(z)): 0.0120 / 0.0125
[3/501][150/1174]	Loss_D: 0.3015	Loss_G: 3.4947	D(x): 0.8769	D(G(z)): 0.0373 / 0.0264
[3/501][200/1174]	Loss_D: 0.3773	Loss_G: 2.5182	D(x): 0.7841	D(G(z)): 0.0541 / 0.0840
[3/501][250/1174]	Loss_D: 0.3891	Loss_G: 2.9303	D(x): 0.9059	D(G(z)): 0.1194 / 0.0632
[3/501][300/1174]	Loss_D: 0.2721	Loss_G: 4.9939	D(x): 0.9768	D(G(z)): 0.0252 / 0.0056
[3/501][350/1174]	Loss_D: 0.9671	Loss_G: 0.4291	D(x): 0.6809	D(G(z)): 0.4038 / 0.6848
[3/501][400/1174]	Loss_D: 3.2400	Loss_G: 4.7531	D(x): 0.9992	D(G(z)): 0.9233 / 0.0079
[3/501][450/1174]	Loss_D: 0.2275	Loss_G: 4.2114	D(x): 0.9546	D(G(z)): 0.0167 / 0.0122
[3/501][500/1174]	Loss_D: 0.2597	Loss_G: 4.2988	D(x): 0.8658	D(G(z)): 0.0126 / 0.0110
[3/501][550/1174]	Loss_D: 0.2782	Loss_G: 3.0958	D(x): 0.9371	D(G(z)): 0.0636 / 0.0401
